,playerID,birthYear,birthMonth,birthDay,birthCity,birthCountry,birthState,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame
12760,mizejo01,1913.0,1.0,7.0,Demorest,USA,GA,1993.0,6.0,2.0,USA,GA,Demorest,Johnny,Mize,John Robert,215.0,74.0,L,R,1936-04-16,1953-09-26
12797,molitpa01,1956.0,8.0,22.0,St. Paul,USA,MN,,,,,,,Paul,Molitor,Paul Leo,185.0,72.0,R,R,1978-04-07,1998-09-27
12988,morgajo02,1943.0,9.0,19.0,Bonham,USA,TX,2020.0,10.0,11.0,USA,CA,Danville,Joe,Morgan,Joe Leonard,160.0,67.0,L,R,1963-09-21,1984-09-30
13033,morrija02,1955.0,5.0,16.0,St. Paul,USA,MN,,,,,,,Jack,Morris,John Scott,195.0,75.0,R,R,1977-07-26,1994-08-07
13202,munsoth01,1947.0,6.0,7.0,Akron,USA,OH,1979.0,8.0,2.0,USA,OH,Summit County,Thurman,Munson,Thurman Lee,190.0,71.0,R,R,1969-08-08,1979-08-01
13271,murraed02,1956.0,2.0,24.0,Los Angeles,USA,CA,,,,,,,Eddie,Murray,Eddie Clarence,190.0,74.0,B,R,1977-04-07,1997-09-20
13295,musiast01,1920.0,11.0,21.0,Donora,USA,PA,2013.0,1.0,19.0,USA,MO,Ladue,Stan,Musial,Stanley Frank,175.0,72.0,L,L,1941-09-17,1963-09-29
13302,mussimi01,1968.0,12.0,8.0,Williamsport,USA,PA,,,,,,,Mike,Mussina,Michael Cole,185.0,74.0,L,R,1991-08-04,2008-09-28
13490,newhoha01,1921.0,5.0,20.0,Detroit,USA,MI,1998.0,11.0,10.0,USA,MI,Southfield,Hal,Newhouser,Harold,180.0,74.0,L,L,1939-09-29,1955-05-03
13525,nichoki01,1869.0,9.0,14.0,Madison,USA,WI,1953.0,4.0,11.0,USA,MO,Kansas City,Kid,Nichols,Charles Augustus,175.0,70.0,B,R,1890-04-23,1906-05-18
13550,niekrph01,1939.0,4.0,1.0,Blaine,USA,OH,2020.0,12.0,27.0,USA,GA,Flowery Branch,Phil,Niekro,Philip Henry,180.0,73.0,R,R,1964-04-15,1987-09-27
13752,odayha01,1859.0,7.0,8.0,Chicago,USA,IL,1935.0,7.0,2.0,USA,IL,Chicago,Hank,O'Day,Henry M.,180.0,72.0,R,R,1884-05-02,1890-10-03
13833,olivato01,1938.0,7.0,20.0,Pinar del Rio,Cuba,Pinar del Rio,,,,,,,Tony,Oliva,Tony Pedro,175.0,73.0,L,R,1962-09-09,1976-09-29
13877,omallwa99,1903.0,10.0,9.0,New York,USA,NY,1979.0,8.0,9.0,USA,MN,Rochester,Walter,O'Malley,Walter Francis,,,,,,
13887,oneilbu01,1911.0,11.0,13.0,Carrabelle,USA,FL,2006.0,10.0,6.0,USA,MO,Kansas City,Buck,O'Neil,John Jordan,190.0,70.0,R,R,,
13931,orourji01,1850.0,9.0,1.0,Bridgeport,USA,CT,1919.0,1.0,8.0,USA,CT,Bridgeport,Jim,O'Rourke,James Henry,185.0,68.0,R,R,1872-04-26,1904-09-22
13957,ortizda01,1975.0,11.0,18.0,Santo Domingo,D.R.,Distrito Nacional,,,,,,,David,Ortiz,David Americo,230.0,75.0,L,L,1997-09-02,2016-10-02
